Hour,SO2,y2011,y2012,y2013,y2014,y2015
1,9.759830611,12.21958457,9.705014749,11.0652819,7.708333333,7.914473684
2,9.624017957,12.76243094,9.64010989,10.36164384,7.728021978,7.418960245
3,9.262535211,12.34072022,9.280991736,10.13535912,7.250688705,7.104294479
4,10.30869074,13.79558011,10.48626374,10.80440771,8.245179063,7.940625
5,9.283548568,12.73407202,9.214285714,9.603305785,7.247252747,7.474164134
6,9.365881033,13.09141274,9.211538462,9.47107438,7.370879121,7.545454545
7,9.864273696,13.74722222,9.637362637,10.05785124,8.128767123,7.592145015
8,11.91418957,15.6232687,11.47933884,12.65013774,10.20547945,9.422960725
9,13.7115493,17.725,13.16155989,14.52762431,12.13296399,10.78978979
10,12.98132428,16.56145251,12.53888889,14.11388889,11.50692521,9.93902439
11,12.13782991,16.02631579,12.26836158,12.80571429,10.1744186,9.171428571
12,11.48465171,15.28362573,11.72753623,12.03746398,9.528735632,8.618589744
13,11.04314869,14.4566474,11.06285714,12.00568182,9.218130312,8.232484076
14,10.71180556,13.84482759,11.23579545,11.65633803,8.607344633,8
15,10.93552101,14.40634006,11.31073446,11.63788301,8.918539326,8.221183801
16,11.164,14.62678063,11.76338028,11.49582173,9.174515235,8.604938272
17,11.23024446,14.74293785,11.92458101,11.70718232,8.933333333,8.652307692
18,11.50028233,15.09141274,11.64788732,12.1800554,9.175824176,9.233333333
19,11.82313307,15.44044321,11.66850829,12.55955679,9.780821918,9.503012048
20,12.06558296,15.67127072,11.79558011,13.51515152,9.849315068,9.280120482
21,11.90817469,15.34986226,11.38121547,13.43561644,9.791780822,9.359516616
22,11.28699552,14.83425414,10.60497238,13.0630137,8.942465753,8.772727273
23,10.60728291,13.93922652,10.16298343,12.02465753,8.723287671,7.963746224
24,10.21288515,13.40331492,10.05494505,11.14285714,8.432876712,7.83030303
