Hour,SO2,y2011,y2012,y2013,y2014,y2015
1,9.903519417,10.30182927,9.395894428,11.82089552,10.56845238,7.230519481
2,9.753655793,11.01699717,9.405479452,11.13774105,9.967123288,7.045180723
3,9.490990991,10.25852273,9.076712329,10.66298343,10.43561644,6.81626506
4,9.557432432,10.94050992,9.142076503,10.65289256,10.40821918,6.382978723
5,9.275590551,10.61189802,9.183060109,10.13774105,9.879452055,6.341389728
6,9.199662542,10.64589235,9.144808743,10.51515152,9.484931507,5.960725076
7,9.3712036,10.64305949,9.390710383,10.73002755,9.646575342,6.19939577
8,9.741826381,11.46458924,9.931129477,10.83746556,9.673076923,6.570996979
9,10.36270608,11.58045977,10.89577465,11.42222222,10.26575342,7.465256798
10,10.32269099,12.15652174,10.52974504,11.59444444,10.21428571,6.936746988
11,10.13403263,11.76696165,10.51136364,11.33623188,9.93837535,6.941176471
12,10.07092199,11.74702381,10.72463768,11.0619469,9.40625,7.2875
13,9.728018757,11.14583333,10.29661017,10.97101449,8.982954545,7.081504702
14,10.04251602,11.31014493,10.53221289,11.27745665,9.24,7.664576803
15,10.33411079,11.70175439,10.71309192,11.84682081,9.438395415,7.780564263
16,10.32774566,11.73469388,10.83379501,11.55142857,9.620396601,7.715170279
17,10.63194047,12.16569767,11.09418283,11.81337047,9.80726257,8.098461538
18,10.80865604,12.25641026,11.49584488,12.0509915,9.95567867,8.121212121
19,11.05678592,12.97167139,10.67688022,12.40509915,10.74104683,8.351351351
20,11.33954802,13.44067797,10.66481994,12.8767507,10.78356164,8.798798799
21,11.24101124,13.21468927,10.61369863,12.90358127,10.92876712,8.36036036
22,11.02924634,12.78977273,10.72054795,12.78236915,10.63835616,8.024024024
23,10.50872257,11.42372881,9.909340659,12.79224377,10.61643836,7.597597598
24,10.02987599,10.81586402,9.909836066,11.75910364,10.23013699,7.255255255
