Hour,SO2,y2011,y2012,y2013,y2014,y2015
1,8.977426637,8.69637883,9.548746518,11.87222222,8.099722992,6.486486486
2,9.015245624,8.754874652,9.458100559,12.02777778,8.191135734,6.456456456
3,9.087679083,9.025139665,9.518309859,12.10584958,8.127071823,6.302250804
4,11.42686397,11.16759777,11.23595506,14.04722222,11.22816901,9.256097561
5,10.18957055,10.27828746,10.3,13.12835821,9.208955224,7.808580858
6,10.09456399,10.33798883,10.19491525,13.16666667,9.126721763,7.444108761
7,10.02378256,10.20111732,10.1440678,13.23333333,9.016528926,7.317220544
8,10.64289757,11.12569832,10.8,13.81388889,9.38292011,7.885196375
9,11.79102783,12.46348315,11.7740113,14.8603352,10.77410468,8.872727273
10,12.44131185,13.20571429,12.4115942,15.52808989,11.49162011,9.352583587
11,12.40639535,13.35755814,12.37463127,15.38591549,11.38700565,9.317073171
12,11.88502358,12.51453488,12.18126888,14.80802292,10.77873563,8.953703704
13,11.37851343,11.98784195,11.69905956,14.23076923,10.34036145,8.634304207
14,10.95140187,11.28267477,11.45886076,13.61858974,10.08630952,8.352564103
15,10.69099757,10.86549708,11.28484848,13.53144654,9.849557522,7.917460317
16,10.61547619,10.75,10.99410029,13.37951807,9.808695652,8.037974684
17,10.36041788,10.23595506,10.88728324,13.24046921,9.688202247,7.641975309
18,9.954102123,9.74789916,10.43785311,12.65028902,9.293296089,7.533536585
19,9.620102215,9.256267409,10.10955056,12.29859155,8.980555556,7.311178248
20,9.275337838,8.818941504,9.747222222,12,8.668493151,6.984984985
21,9.064080944,8.632311978,9.602777778,11.78176796,8.361643836,6.762762763
22,8.868953881,8.403899721,9.369444444,11.72576177,8.043835616,6.636636637
23,8.765598651,8.169444444,9.325,11.6398892,8.010958904,6.516516517
24,8.800450958,8.47632312,9.389972145,11.57777778,7.964187328,6.423423423
