Hour,SO2,y2011,y2012,y2013,y2014,y2015
1,10.16620034,10.62049861,11.03571429,11.99449036,10.37808219,6.508982036
2,9.954087346,10.53185596,10.93131868,11.73829201,9.994505495,6.281437126
3,9.938073394,10.45833333,10.88429752,11.51666667,9.936986301,6.226351351
4,13.34606742,12.85595568,13.66758242,14.56232687,16.55277778,8.754491018
5,10.98129149,11.17261905,11.81656805,12.39583333,12.26764706,6.879478827
6,10.5235426,10.91689751,11.32231405,12.04155125,11.47945205,6.54491018
7,10.34175084,10.78888889,11.39669421,12.02222222,10.83835616,6.359281437
8,11.53363229,11.98888889,12.78021978,13.41551247,11.88493151,7.266467066
9,13.51685393,14.53203343,14.71900826,15.57660167,13.99452055,8.383233533
10,14.93742954,16.17696629,16.12121212,17.0140056,15.58241758,9.407185629
11,14.98309038,15.95953757,16.14488636,17.22608696,15.74639769,9.489230769
12,14.89079103,15.55331412,16.23255814,16.95014663,15.97965116,9.330188679
13,14.83283936,15.70893372,16.21865889,17.10682493,15.65306122,9.069400631
14,14.67542323,15.72126437,15.97694524,16.8173913,15.40625,9.031152648
15,14.65476887,15.78448276,15.93409742,16.71676301,15.41107872,9.043343653
16,14.21449445,15.49428571,15.08908046,16.30172414,14.73255814,9.052959502
17,13.78484673,15,14.23033708,15.94334278,14.27034884,9.089783282
18,12.951373,13.85955056,13.3816156,14.88169014,13.66381766,8.629969419
19,11.95993228,12.35277778,12.71745152,13.79166667,12.84764543,7.733333333
20,11.31946007,11.85082873,12.1519337,13.12777778,11.99724518,7.117824773
21,11.04262479,11.73002755,11.90607735,12.94182825,11.38736264,6.918918919
22,10.86659193,11.58839779,11.71546961,12.87052342,11.03571429,6.78978979
23,10.5862262,11.16298343,11.5261708,12.57024793,10.70410959,6.642642643
24,10.31897034,10.8480663,11.25274725,12.15702479,10.48493151,6.537537538
