Hour,SO2,y2011,y2012,y2013,y2014,y2015
1,10.16508645,12.0467033,9.489071038,11.12876712,9.989010989,7.994011976
2,9.770089286,11.58241758,9.166666667,10.62912088,9.626373626,7.676646707
3,9.447098976,11.16066482,8.915068493,10.09668508,9.428571429,7.31372549
4,12.35211268,14.51111111,10.95081967,13.25895317,13.56703911,9.216463415
5,9.795318127,12.0443787,8.838235294,10.60997067,9.949554896,7.329032258
6,9.420905534,11.50824176,8.571428571,10.48076923,9.396694215,6.943113772
7,9.345637584,11.54120879,8.73480663,10.43956044,8.947802198,6.856287425
8,10.2109681,12.59065934,9.479224377,11.45054945,9.527472527,7.80239521
9,10.97030812,13.39835165,10.075,12.4640884,10.55890411,8.119760479
10,11.19044944,13.72777778,10.10803324,12.74655647,11.01928375,8.111111111
11,11.20450607,13.71954674,10.45658263,12.44092219,11.08069164,8.125382263
12,10.97253068,13.66184971,10.34831461,12.29069767,10.45,7.944615385
13,10.84841363,13.46938776,10.34375,12.15317919,10.28656716,7.828220859
14,10.88077148,13.4756447,10.42165242,11.95965418,10.53412463,7.816513761
15,11.21486643,13.80172414,10.63323782,12.2962963,10.99711816,8.152905199
16,11.51133062,14.24355301,10.98275862,12.38461538,11.23188406,8.524390244
17,11.76785714,14.63172805,11.1440678,12.85070423,11.18624642,8.778461538
18,11.87146093,14.9301676,11.1800554,12.8480663,10.97759104,9.18902439
19,11.78639685,14.65927978,11.08196721,12.89807163,10.90833333,9.151975684
20,11.47701794,14.0467033,10.68032787,12.96969697,10.61666667,8.83081571
21,11.21831379,13.7032967,10.46174863,12.43835616,10.50688705,8.771771772
22,11.15551839,13.48767123,10.41803279,12.33972603,10.66483516,8.655688623
23,10.828125,13.13461538,10.27595628,11.56712329,10.52066116,8.446107784
24,10.54935862,12.58791209,9.855191257,11.43013699,10.32967033,8.365269461
